feature_set,scenario,training_seed,classifier,metric,n_simulation_seeds,mean,sd,ci95_low,ci95_high
4,DNSAmplification,282427,hybrid,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,hybrid,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,hybrid,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,hybrid,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,hybrid,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,hybrid,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,hybrid,pr_auc_ddos,10,1.0,6.409875621278546e-17,1.0,1.0
4,DNSAmplification,282427,mlp,accuracy,10,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
4,DNSAmplification,282427,mlp,precision,0,not estimable,not estimable,not estimable,not estimable
4,DNSAmplification,282427,mlp,recall,10,0.0,0.0,0.0,0.0
4,DNSAmplification,282427,mlp,f1,10,0.0,0.0,0.0,0.0
4,DNSAmplification,282427,mlp,balanced_accuracy,10,0.5,0.0,0.5,0.5
4,DNSAmplification,282427,mlp,mcc,0,not estimable,not estimable,not estimable,not estimable
4,DNSAmplification,282427,mlp,roc_auc,10,0.0,0.0,0.0,0.0
4,DNSAmplification,282427,mlp,pr_auc_benign,10,0.6903757739435152,0.004703700027550261,0.6870109496451096,0.6937405982419209
4,DNSAmplification,282427,mlp,pr_auc_ddos,10,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.1666666666666667
4,DNSAmplification,282427,rf,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,rf,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,rf,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,rf,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,rf,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,rf,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,rf,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,rf,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,rf,pr_auc_ddos,10,1.0,7.401486830834377e-17,1.0,1.0
4,DNSAmplification,282427,xgboost,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,xgboost,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,xgboost,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,xgboost,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,xgboost,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,xgboost,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,xgboost,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,xgboost,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,xgboost,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,hybrid,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,hybrid,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,hybrid,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,hybrid,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,hybrid,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,hybrid,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,hybrid,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,hybrid,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,hybrid,pr_auc_ddos,10,1.0,5.233641528945917e-17,1.0,1.0
4,DNSAmplification,307759,mlp,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,mlp,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,mlp,recall,10,1.0,0.0,1.0,1.0
