feature_set,model,n_seeds,fpr,mean_tpr,sd_tpr
8,xgboost,10,0.162,0.9996400192084811,0.0001541230018058452
8,xgboost,10,0.163,0.9996468078299582,0.00014943844787946269
8,xgboost,10,0.164,0.9996535964514353,0.00014475389653890688
8,xgboost,10,0.165,0.9996603850729121,0.00014006934804356388
8,xgboost,10,0.166,0.9996671736943892,0.00013538480268878163
8,xgboost,10,0.167,0.9996739623158662,0.00013070026081225106
8,xgboost,10,0.168,0.9996807509373433,0.00012601572280182284
8,xgboost,10,0.169,0.9996875395588202,0.0001213311891054155
8,xgboost,10,0.17,0.999694328180297,0.00011664666024272259
8,xgboost,10,0.171,0.9997011168017742,0.00011196213682047618
8,xgboost,10,0.17200000000000001,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.17300000000000001,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.17400000000000002,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.17500000000000002,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.176,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.177,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.178,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.179,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.18,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.181,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.182,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.183,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.184,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.185,0.9997016795534487,0.00011157380737734148
8,xgboost,10,0.186,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.187,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.188,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.189,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.19,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.191,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.192,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.193,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.194,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.195,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.196,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.197,0.9997338457146471,8.937748455817429e-05
