feature_set,seed,model,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,roc_auc,pr_auc_benign,pr_auc_ddos
4,282427,rf,0.9834022988505747,0.9761042722664736,0.9910853781821524,0.9835377810205663,0.983398057570237,0.9669183227765205,21210,528,194,21568,0.9989864359446092,0.9989878402204247,0.9989981780298907
4,282427,mlp,0.9189195402298851,0.9104578400036015,0.9293263486811874,0.9197953382603752,0.9189137953728874,0.8380173591720337,19749,1989,1538,20224,0.9627468424056975,0.935480856725445,0.9736283838536336
4,282427,hybrid,0.9848735632183908,0.9768187980117488,0.9933370094660418,0.9850086576141438,0.9848688911531147,0.9698856724243273,21225,513,145,21617,0.9980356881324117,0.997998513500314,0.9980760760261326
6,282427,xgboost,0.9858390804597701,0.9788930156717094,0.9931072511717673,0.9859489051094891,0.9858350682209007,0.9717804961269871,21272,466,150,21612,0.9992533077394135,0.9992313061959772,0.9992700302413875
6,282427,rf,0.9857471264367816,0.980063578564941,0.9916827497472659,0.9858389292403271,0.9857438498023292,0.9715624146102256,21299,439,181,21581,0.9992965250864307,0.9992763671454752,0.999333751656921
6,282427,mlp,0.9744827586206897,0.9730187814933577,0.9760591857366051,0.9745366122224262,0.9744818883876696,0.9489700516101419,21149,589,521,21241,0.9938588645594958,0.9901468059171887,0.9955977836864454
6,282427,hybrid,0.9857241379310345,0.9795835034708044,0.9921422663358147,0.9858228888432299,0.9857205949399195,0.9715280005624722,21288,450,171,21591,0.998427959886117,0.998171448123407,0.9986729933478443
8,282427,xgboost,0.985448275862069,0.9792243139033795,0.9919584597003952,0.9855502545255325,0.9854446820537122,0.9709785314850197,21280,458,175,21587,0.9992352551510143,0.9992068209140771,0.9992602230885697
8,282427,rf,0.9860459770114942,0.9804242176499978,0.9919125080415403,0.9861349048630622,0.986042738517964,0.9721585824332497,21307,431,176,21586,0.9992270670127048,0.9992122649737812,0.9992597647912241
8,282427,mlp,0.9726666666666667,0.9702829973026105,0.9752320558772172,0.9727512318093273,0.9726652504981816,0.9453454737731328,21088,650,539,21223,0.9921275283210232,0.9900319019881748,0.9940358849206506
8,282427,hybrid,0.9854942528735632,0.9794871794871794,0.9917746530649757,0.985592620499121,0.9854907859123756,0.9710647937061174,21286,452,179,21583,0.9982061540318377,0.9979368100587254,0.998488179700484
4,307759,xgboost,0.9851278043398308,0.9766490237068007,0.9944746376811594,0.985481228822117,0.9849847049496163,0.9704072579351302,20899,525,122,21958,0.999245019342049,0.999259262303517,0.9992159819289096
4,307759,rf,0.9860932328061788,0.9756789084304257,0.9974637681159421,0.9864510783150068,0.9859191506748493,0.9724207016527961,20875,549,56,22024,0.9991644028081063,0.9991785318138242,0.9991563150987293
4,307759,mlp,0.941752482530342,0.9239177583065845,0.9646739130434783,0.9438560730269863,0.9414015569698347,0.8842882822043188,19670,1754,780,21300,0.9882142326836489,0.9891481165032783,0.987601121975628
4,307759,hybrid,0.9863460831187937,0.9754381306425917,0.9982336956521739,0.9867042707493956,0.9861640845699257,0.9729502935083846,20869,555,39,22041,0.9991851969482958,0.999247840812275,0.9989275127532271
6,307759,xgboost,0.9880011033468187,0.977665514490827,0.9991847826086957,0.9883080231151727,0.987829881969023,0.9762326305513555,20920,504,18,22062,0.9994942276997354,0.9995038777522518,0.999451144674721
6,307759,rf,0.9880240897388746,0.9785996536873418,0.9982336956521739,0.9883191713561869,0.9878677813585739,0.9762380664821008,20942,482,39,22041,0.9994373447917682,0.9994527234856805,0.9994314624883861
6,307759,mlp,0.9799558661272527,0.9631376659678547,0.998731884057971,0.9806118818925649,0.979668406554751,0.960557115583651,20580,844,28,22052,0.9985654865429263,0.9989289929967887,0.9976562255858998
6,307759,hybrid,0.9882079808753218,0.9782251984566943,0.9990036231884057,0.9885052320240203,0.9880427003171304,0.9766302131158255,20933,491,22,22058,0.9995925139150458,0.9996106962791892,0.9994035821831956
8,307759,xgboost,0.9874264435454211,0.9765414066303723,0.9992300724637682,0.9877554675083384,0.9872457307800544,0.9751097533241797,20894,530,17,22063,0.9995382872198726,0.9995263665630627,0.9995196613122388
8,307759,rf,0.9880930489150423,0.9781355330849743,0.9988677536231884,0.9883929371694901,0.9879280889101751,0.9763992164798294,20931,493,25,22055,0.9996752549964282,0.9996827570967504,0.9996698593295877
8,307759,mlp,0.9847370356748805,0.9718843645337564,0.9988224637681159,0.985169302242473,0.9845213887175157,0.9698386045665878,20786,638,26,22054,0.9988854264755226,0.9989917985274985,0.9987382993206051
8,307759,hybrid,0.9876563074659801,0.9772274157104249,0.9989583333333333,0.9879733936529977,0.9874832742096091,0.9755474372116578,20910,514,23,22057,0.9996676404492861,0.9995806754575581,0.9996577657159609
4,333019,xgboost,0.9848739878082067,0.9758534931042279,0.9939664701547531,0.9848267049992014,0.9849843136321133,0.9699132097293313,21718,534,131,21581,0.9992505858978371,0.9993165853313845,0.9991405771656156
4,333019,rf,0.9818942771358384,0.9747593971309243,0.9889462048636699,0.9818015546410608,0.9819798433989391,0.9638890798599363,21696,556,240,21472,0.9990923279929066,0.9991549311172925,0.9990318595871567
4,333019,mlp,0.9384041488490583,0.9305391934753059,0.945882461311717,0.9381480973916221,0.938494888754007,0.8769306477442027,20719,1533,1175,20537,0.9880243204853469,0.9893393160967564,0.9867680732979817
4,333019,hybrid,0.9847375125102357,0.9751162895723253,0.994473102431835,0.9846995781552844,0.9848556416347563,0.969664140437445,21701,551,120,21592,0.9991727909398753,0.9992866490265602,0.9988865465231113
6,333019,xgboost,0.9883541079064689,0.9785553047404063,0.9982958732498157,0.988327025671424,0.9884747387101137,0.9769043108210566,21777,475,37,21675,0.9996418136791395,0.9996768356915602,0.9995610700452816
6,333019,rf,0.9883768537894642,0.9787291694892291,0.9981577008106116,0.9883479648842778,0.9884955320518993,0.9769435673627985,21781,471,40,21672,0.999411343102012,0.9994576473240877,0.9993745913598776
6,333019,mlp,0.9855108725320717,0.9722583247434231,0.9991709653647752,0.9855309483248155,0.9856766205576348,0.9713900970423854,21633,619,18,21694,0.9985915129253699,0.9989762247366009,0.9975026674179439
6,333019,hybrid,0.9886270585024111,0.9787397309740905,0.9986643330876934,0.9886016504810103,0.9887488481904403,0.9774538800498767,21781,471,29,21683,0.9996424356579575,0.9996468894250079,0.9995355001945537
8,333019,xgboost,0.9880356655445365,0.977205153617443,0.9990788504053059,0.9880209519471647,0.9881696606871038,0.9763128049938737,21746,506,20,21692,0.9996816917320475,0.999677651120169,0.9995721011433056
8,333019,rf,0.9883995996724593,0.9780824388923965,0.998894620486367,0.9883789819076698,0.988526943534573,0.9770174509659123,21766,486,24,21688,0.9996361527404788,0.9996610783354157,0.9996118413520932
8,333019,mlp,0.9949504139750706,0.9908634079488351,0.9989867354458364,0.9949084904362185,0.9949993896535312,0.9899327676072874,22052,200,22,21690,0.9979402162404883,0.9984899463314905,0.9971899287494789
8,333019,hybrid,0.9881721408425075,0.9775554353704705,0.9989867354458364,0.9881548974943052,0.9883033623301445,0.9765759362530614,21754,498,22,21690,0.9997494387826135,0.999724913540577,0.9997262595845123
